"code","energy_kcal_100g","sugars_100g","fat_100g","salt_100g","proteins_100g","nutriscore_grade","nutriscore_score","nova_group"
"20724733","170","23","6.1","1.79","2.7","d","15","4"
"8594001561384","457","19","16","0.17","8.1","d","13","4"
"4770299400572","61","3.70000004768372","3.20000004768372",,"3.20000004768372","unknown",,
"5900020035714","382","8.8","1.4","1.2775","7.4","unknown",,"4"
"3259011799893","225","1.9","9","0.975","8.8","c","3","4"
"8719132831179","120","3.5","10","0.2","4.5","c","8","1"
"7798183771918","357","34","21","0.1975","4.8","e","22","4"
"9300605139640","389.237913138486","19.7142857142857","7.14285714285714","0.0285714285714286","10","b","2","4"
"8711000302040","165.39","1","1","210","16","unknown",,"4"
"7801620005191","24","4.2",,"0.5",,"c","3","4"
"7702001124763","145.977011494253","17.2413793103448","4.02298850574713","0.189655172413793","3.39080459770115","e","15","4"
"5707653000856","326","56","3.5",,"2","c","8","4"
"6001001825146","58.32","3.9","3.1",,"3.6","c","3","1"
"7340011460923","613","6","49","0.67","19","c","8","3"
"5391526416044","246.666666666667","3.9","2.3","0.94","8.9","c","4","4"
"4820174301606","233","7.40000009536743","1.79999995231628",,"7.30000019073486","unknown",,
"8901262070676","520.25202520252","43.024302430243","33.1233123312331","0.094959495949595","6.40864086408641","e","28","4"
"8594071469573","384","0.699999988079071","2.59999990463257",,"8","unknown",,
"0059749894784","700",,"80","0.2","1","d","18","2"
"7034280009494","267","2.8","27.2",,"1.2","unknown",,
"4607121295337","403",,"15",,"5","unknown",,"4"
"8480000198600","309",,,,,"c","3","4"
"5900242003089","631","1.9","68","1","1.9","d","16","3"
"4870200149931","510",,"27.33333",,"0.01438095","unknown",,"4"
"3560071257194","59","7.7","1.3","0.08",,"e","11","3"
"8593894813297","535","36","31","0.255","6.9","e","27","4"
"5060337500258","50",,"4.4","0.2",,"c","4","4"
"5712876486080","39","9.1",,,,"c","5",
"90492501","30.59","6.1",,"65",,"unknown",,"4"
"8850025060105","24","0.2","2","0.015","0.8","b","2","4"
"7896030518751","186.666666666667","2.33333333333333","16","1.225","8.66666666666667","d","15","4"
"8480000230102","324","61","1.1",,"3.1","d","15","3"
"7072130010580","350",,"5.7",,"43","not-applicable",,"4"
"4902102154826",,,,"0.02",,"b",,"1"
"5050974000822","435","2.9","14.1","1.54","16.4","c","10","4"
"5601989003126","821",,"91.2",,,"b",,
"0016000442825","470.588235294118","58.8235294117647","23.5294117647059","1.02941176470588","8.82352941176471","e","36","4"
"5013665108801","643","3.8","54.3","1","27.7","c","4","3"
"8480000602367","342","10","3.3","0.88","16","c","3","3"
"8859799400025","150","27","1.7","4.82","1.7","unknown",,
"5740900805408","679","1","75","0.9","1","e","21","2"
"8480000205124","129","3.9","10.8",,,"unknown",,"3"
"8901764032912","49","11.7",,"0.02525",,"e","17","4"
"7896104802816","270","55",,"0.04",,"d","18","4"
"3760049797909","261","4.1","4.6","1.1","10","b","2","4"
"3560071046897","51","4.2","1.2","0.1","0.5","e","13","3"
"6009710723463","355","1","8",,"11","unknown",,
"7896279600538","828",,"92",,,"c","6",
"5052003250970","50","9.7",,"0.01","0.7","c","6","1"
"0850000547568","300","50",,"0.1875",,"c","7","3"
"7891000050880","370",,,,"5.66666666666667","unknown",,
"4056489454458","50","4.4","2","0.00025","3.5","b",,
"3073780810661","262.857142857143","5.42857142857143","13.1428571428571","2.80714285714286","10.5714285714286","e","21","4"
"6413600015147","0.4",,,"0.012",,"c","4","4"
"4001518722930","381","52","10","0.15","3","e","24","4"
"4056489961680","43","10.3",,"0.01","0.1","e","12","4"
"0056800202458","57.1428571428571","2.60869565217391",,"0.108695652173913","9.56521739130435","a","-3","1"
"4792090000560","47.9","3.8","1.4",,"3.3","unknown",,
"20202392","697","2.5","66.5","0.01","16.9","c","3","1"
"2006050131501","50","1.7","1.1","0.41","2.7","a",,
"8718452142286","302","75",,,"0.4","unknown",,"2"
"8000380005598","540.608212692342","37","37","0.2","8.4","e","26","4"
"7503016385183","441.4","14.2","18.6","0.355","13","unknown",,
"7896036000793","36","6.4",,"0.36576","2","a","-4","3"
"4061459306071","256.666666666667",,"21","2.5","17","e","19","3"
"7802900001179","341.279069767442","1.74418604651163","26.7441860465116","1.78779069767442","23.2558139534884","unknown",,
"8858709101991","53.3333333333333","1.66666666666667","3","0.125","4","b","-1",
"9421904480063","180","5","7","2.3","7","unknown",,"4"
"7891000078518","403.333333333333","33.3333333333333","6.33333333333333",,"12.6666666666667","unknown",,
"8992802123013","55.5555555555556","5","2.22222222222222","0.111111111111111","3.33333333333333","b","1",
"0060885000489","275","5","6.25","1.09375","12.5","c","3","4"
"8993175569071","423.076923076923","23.0769230769231","13.4615384615385",,"3.84615384615385","unknown",,
"8711299020410","614","5.3","50.6","0.8","24.6","b","2","3"
"3257971309114",,,,"0.00075",,"a",,"1"
"7807910037897","128.333333333333",,"3",,"23.6666666666667","unknown",,
"3497917000914","526.666666666667","2.33333333333333","32","1.4","6.33333333333333","d","12","4"
"5013665115373","425.531914893617","3.6","12","0.1035","25","a","-8","4"
"4056489096627","219","3.6","4.6","0.86","9.7","c","5","4"
"4001724819103","232","2.6","12","0.955","8.3","c","6","4"
"5449000015105","34","8.3",,"0.36",,"e","14","4"
"4001686536025","409","70","5.1","0.5","0.7","e","24","4"
"8901058017670","384.285714285714","1.85714285714286","12.5714285714286","2.5","8.14285714285714","e","24",
"6410380041823","554","4.1","33","1.6725","6.3","d","15","4"
"9319133331372","449","8.5","20.6","0.01","11.3","a",,"4"
"6003770000632","65","1.5","4.5","4.9","1","unknown",,
"5060853640131","403","12.3333333333333","14.1666666666667","0.1625","16","a","-2","4"
"7318690497363","553","22","37","0.14","7","d","17","4"
