"code","country"
"7791118000503","Argentina"
"7791120098093","Argentina"
"7791120098888","Argentina"
"7791120102769","Argentina"
"7791120103148","Argentina"
"7791273000707","Argentina"
"7791324157046","Argentina"
"7791324157466","Argentina"
"7791337006355","Argentina"
"7791337007208","Argentina"
"7791337007253","Argentina"
"7791337007901","Argentina"
"7791337007932","Argentina"
"7791337007949","Argentina"
"7791337009660","Argentina"
"7791337009677","Argentina"
"7791337009783","Argentina"
"7791337009820","Argentina"
"7791337010017","Argentina"
"7791337060944","Argentina"
"7791337061385","Argentina"
"7791337061491","Argentina"
"7791337939813","Argentina"
"77915818","Argentina"
"77916525","Argentina"
"7791708001484","Argentina"
"7791720025291","Argentina"
"7791720026564","Argentina"
"7791720028773","Argentina"
"7791720029404","Argentina"
"7791720029473","Argentina"
"7791720030004","Argentina"
"7791720037003","Argentina"
"7791813421382","Argentina"
"7791813777021","Argentina"
"7791866000558","Argentina"
"7791866001197","Argentina"
"7791866001203","Argentina"
"7791866001357","Argentina"
"7791866004211","Argentina"
"7791875000020","Argentina"
"7791875000334","Argentina"
"7791875000471","Argentina"
"7791875005353","Argentina"
"7791875101956","Argentina"
"7791954004109","Argentina"
"7792170042258","Argentina"
"7792170052271","Argentina"
"7792170555345","Argentina"
"7792170555420","Argentina"
"7792180001665","Argentina"
"7792180004567","Argentina"
"7792180005182","Argentina"
"7792180007315","Argentina"
"7792180137111","Argentina"
"7792200000159","Argentina"
"7792200000319","Argentina"
"7792200001125","Argentina"
"77922120","Argentina"
"7792290000398","Argentina"
"7792350067019","Argentina"
"7792360071365","Argentina"
"7792360072447","Argentina"
"7792360094968","Argentina"
"7792360096818","Argentina"
"7792540260138","Argentina"
"7792540294607","Argentina"
"7792590001064","Argentina"
"7792710000090","Argentina"
"7792710000151","Argentina"
"7792710000182","Argentina"
"7792799000011","Argentina"
"7793046007722","Argentina"
"7793046007791","Argentina"
"7793046008415","Argentina"
"7793323004789","Argentina"
"7793323004802","Argentina"
"7793360000157","Argentina"
"7793360103018","Argentina"
"7793360131516","Argentina"
"7793450000159","Argentina"
"7793704000225","Argentina"
"7793704000911","Argentina"
"7793704000928","Argentina"
"7793750000057","Argentina"
"7793890258264","Argentina"
"7793890258271","Argentina"
"7793890258431","Argentina"
"7793890258752","Argentina"
"7793890258806","Argentina"
"7793890259001","Argentina"
"7793890260892","Argentina"
"7793890261196","Argentina"
"7793890261226","Argentina"
"7793890261486","Argentina"
"7793890261493","Argentina"
"7793913001822","Argentina"
"7793913002423","Argentina"
"7793913013443","Argentina"
"7793913013535","Argentina"
"7793913013689","Argentina"
"7793913013726","Argentina"
"7793913013986","Argentina"
"7793913013993","Argentina"
"77939234","Argentina"
"7793940044007","Argentina"
"7793940054006","Argentina"
"7794000006072","Argentina"
"7794000006164","Argentina"
"7794000007093","Argentina"
"7794000007109","Argentina"
"77940131","Argentina"
"77940148","Argentina"
"7794820000885","Argentina"
"7794820902721","Argentina"
"7794820903292","Argentina"
"7794870000330","Argentina"
"7794940000796","Argentina"
"7794990879656","Argentina"
"7794990879663","Argentina"
"7795293601869","Argentina"
"77953124","Argentina"
"7795735000328","Argentina"
"7795735000342","Argentina"
"7795735600917","Argentina"
"7795735600924","Argentina"
"7795735601228","Argentina"
"7795933204023","Argentina"
"7796373002682","Argentina"
"77965370","Argentina"
"7797470199121","Argentina"
"77976291","Argentina"
"77976307","Argentina"
"7798005750169","Argentina"
"77980212","Argentina"
"77980229","Argentina"
"77980236","Argentina"
"77980274","Argentina"
"7798031470833","Argentina"
"7798033333891","Argentina"
"7798033333907","Argentina"
"7798039850026","Argentina"
"7798048720150","Argentina"
"7798048720938","Argentina"
"7798048730876","Argentina"
"7798054490603","Argentina"
"7798059750252","Argentina"
"7798060850019","Argentina"
"7798060852822","Argentina"
"7798065733454","Argentina"
"7798085681568","Argentina"
"7798085681841","Argentina"
"7798085681957","Argentina"
"7798088960059","Argentina"
"7798094220956","Argentina"
"7798094225616","Argentina"
"7798094340555","Argentina"
"7798096031079","Argentina"
"7798096031086","Argentina"
"7798101202562","Argentina"
"7798108347891","Argentina"
"7798108349161","Argentina"
"7798113300270","Argentina"
"7798119220015","Argentina"
"7798119220183","Argentina"
"7798127670161","Argentina"
"7798128000677","Argentina"
"7798128002138","Argentina"
"7798134780235","Argentina"
"7798136870606","Argentina"
"7798136870743","Argentina"
"7798141711031","Argentina"
"7798141972388","Argentina"
"7798142880019","Argentina"
"7798147783223","Argentina"
"7798151952332","Argentina"
"7798151952356","Argentina"
"7798151953117","Argentina"
"7798151953254","Argentina"
"7798151953346","Argentina"
"7798151953360","Argentina"
"7798165593347","Argentina"
"7798171730095","Argentina"
"7798171730392","Argentina"
"7798174970016","Argentina"
"7798181510212","Argentina"
"7798183771918","Argentina"
"7798184451031","Argentina"
"7798187211830","Argentina"
"7798188380177","Argentina"
"7798228640902","Argentina"
"7798233800704","Argentina"
"7798267200754","Argentina"
"7798310270048","Argentina"
"7798333090067","Argentina"
"7798333090142","Argentina"
"7798338290035","Argentina"
"7798338291575","Argentina"
"7798342151810","Argentina"
"7798342151827","Argentina"
"7798343750999","Argentina"
"7798343751002","Argentina"
"7798343751026","Argentina"
"7798343751088","Argentina"
"7798343751118","Argentina"
"7798343751422","Argentina"
"7798343751507","Argentina"
"7798343751521","Argentina"
"7798355480013","Argentina"
"7798355480044","Argentina"
"7798359560445","Argentina"
"7798359560469","Argentina"
"7798397444202","Argentina"
