"country","year","product_count","avg_kcal_100g","avg_sugars_100g","avg_salt_100g","avg_fat_100g","avg_proteins_100g","ultra_processed_percentage"
"Poland","2020","83","301.69","11.31","1.74","19.9","9.61","70.89"
"Poland","2021","59","363.84","8.79","0.73","13.67","10.49","76.92"
"Poland","2022","52","231.13","14.15","0.55","13.13","5.73","75"
"Poland","2023","71","320.87","12.08","0.67","18.09","7.91","63.93"
"Poland","2024","73","328.54","16.77","0.53","18.62","9.02","73.13"
"Poland","2025","21","441.14","10.45","0.71","19.7","13.05","66.67"
"Poland","2026","1","542","","","35","4.4",""
"Portugal","2012","30","389.36","16.01","1.14","25.08","10.19","53.57"
"Portugal","2013","28","360.53","11.97","1.26","19.13","8.18","64.29"
"Portugal","2014","33","398.94","11.26","0.67","20.15","7.68","51.61"
"Portugal","2015","44","322.65","15.38","0.73","15.12","5.77","66.67"
"Portugal","2016","49","397.19","13.48","1.08","15.93","8","69.57"
"Portugal","2017","93","341.79","11.01","0.67","17.19","8.29","64.04"
"Portugal","2018","125","309.65","10.47","0.68","13.58","8.77","70.43"
"Portugal","2019","93","364.93","11.06","0.83","15.62","7.66","67.42"
"Portugal","2020","56","359.42","7.51","0.55","16.47","10.25","63.46"
"Portugal","2021","73","286.37","8.53","0.71","13.53","9.6","61.43"
"Portugal","2022","61","310.59","12.59","0.68","13.78","8.55","68.42"
"Portugal","2023","65","323.09","9.63","0.77","15.41","9.33","65.52"
"Portugal","2024","69","281.12","11.97","0.47","12.73","10.43","82.76"
"Portugal","2025","36","261.31","8.35","0.65","15.12","8.17","77.78"
"Singapore","2012","3","495.33","19.17","0.04","29.67","9.67","33.33"
"Singapore","2013","4","197.92","21.85","0.84","5.1","2.12","50"
"Singapore","2014","5","279.29","21.83","0.48","14.88","10.6","60"
"Singapore","2015","8","199.66","13.34","0.48","2.17","6.18","50"
"Singapore","2016","18","210.91","8.59","0.83","15.25","6.63","58.82"
"Singapore","2017","37","276.73","14.55","0.76","20.77","9.72","54.29"
"Singapore","2018","74","315.95","11.87","1.24","14.83","9.01","52.54"
"Singapore","2019","169","268.83","13.68","0.71","16.27","8.14","76.15"
"Singapore","2020","59","324.18","15.46","21.87","21.97","9.1","68.75"
"Singapore","2021","47","307.39","14.49","1.01","16.94","8.15","68"
"Singapore","2022","58","308.93","10.99","3.44","12.94","8.71","52.17"
"Singapore","2023","36","319.14","15.17","1.09","25.44","9.92","47.06"
"Singapore","2024","130","300.68","13.06","4.18","16.94","9.75","78.38"
"Singapore","2025","131","307.7","14.56","2.25","18.24","8.25","64.71"
"South Africa","2012","1","46.06","11.52","0.01","","","100"
"South Africa","2013","3","43.04","10.9","","","","66.67"
"South Africa","2014","4","287.41","6.35","1.25","21.93","14.6","0"
"South Africa","2015","3","144.18","4.98","0.06","1.61","8.4","33.33"
"South Africa","2016","4","109.92","7.2","0.65","6.83","7.1","75"
"South Africa","2017","6","374.84","18.88","0.49","15.78","10.87","80"
"South Africa","2018","59","334.87","16.38","1.86","14.21","10.74","63.27"
"South Africa","2019","32","228.68","12.5","46.41","9.83","8.45","78.26"
"South Africa","2020","32","351.58","10.46","1.24","18.21","9.54","64"
"South Africa","2021","43","339.87","11.26","513.82","19.49","9.51","70.37"
"South Africa","2022","63","348.17","11.79","57.58","16.05","7.2","84"
"South Africa","2023","72","297.85","11.59","1.1","12.88","7.81","68.42"
"South Africa","2024","185","289.13","12.32","31.92","13.5","9.47","69.7"
"South Africa","2025","112","297.01","12.22","223.34","15","7.71","73.33"
"South Africa","2026","3","562.54","34.48","0.4","37.3","12.41","100"
"South Korea","2013","3","280.6","13.93","0.58","10.4","4.74","100"
"South Korea","2015","2","358.42","3.33","2.71","8.47","24.67","0"
"South Korea","2016","5","342.61","11.1","1.15","10.03","5.68","100"
"South Korea","2017","14","339.64","19.76","1.65","13.39","6.24","75"
"South Korea","2018","10","386.3","17.85","4.57","41.39","4.42","80"
"South Korea","2019","38","310.6","23.38","2.22","21.62","9.04","71.43"
"South Korea","2020","32","320.29","14.81","73.22","14.9","10.81","72.73"
"South Korea","2021","114","245.34","13.12","0.96","12.24","9.41","70"
"South Korea","2022","148","268.3","14.94","0.99","12.56","11.17","100"
"South Korea","2023","75","255.34","14.62","2.83","10.11","9.4","100"
"South Korea","2024","30","208.53","11.99","1.46","10.21","5.77","100"
"South Korea","2025","145","229.7","9.43","0.94","11.89","8.97","60"
"South Korea","2026","7","133.99","0.53","0.95","6.41","6.49",""
"Spain","2012","64","307.13","13.58","1.33","18.19","8.86","49.21"
"Spain","2013","76","323.2","15.69","1.09","15.86","8.31","49.33"
"Spain","2014","57","309.11","13.66","1.41","17.7","9.78","53.7"
"Spain","2015","93","302.15","13.64","0.67","14.61","8.38","54.35"
"Spain","2016","72","354.26","12.09","1.14","16.32","7.77","63.38"
"Spain","2017","114","335.46","12.86","0.7","16.31","8.57","61.26"
"Spain","2018","104","304.27","13.77","0.74","15.78","8.85","66.67"
"Spain","2019","85","425.33","8.97","0.96","18.89","9.35","64.56"
"Spain","2020","51","310.47","11.26","1.23","15.42","9.29","67.35"
"Spain","2021","77","306.97","12.43","0.46","13.88","9.21","61.33"
"Spain","2022","51","320.45","11.29","0.79","17.3","9.71","66.67"
"Spain","2023","50","328.84","9.8","0.79","15.73","11.05","61.7"
"Spain","2024","46","328.62","11.01","0.61","16.93","9.39","77.5"
"Spain","2025","6","396.6","9.37","1.09","21.18","8.42","83.33"
"Sri Lanka","2014","1","22.16","1.48","0.04","0.72","0.84","0"
"Sri Lanka","2015","1","42","3","0.13","2","2.6","100"
"Sri Lanka","2018","3","488.78","3.07","180.3","23.98","13.87","100"
"Sri Lanka","2019","10","449.83","20.73","0.94","28.37","10.8","60"
"Sri Lanka","2020","9","319.05","34.23","0.44","22.75","3.61","50"
"Sri Lanka","2021","10","316.19","9.67","115.05","15.11","8.14","100"
"Sri Lanka","2022","16","271.92","15.37","3.48","11.02","13.21","100"
"Sri Lanka","2023","10","398.85","19.45","0.72","21.97","8.07","80"
"Sri Lanka","2024","26","272.21","16.3","9.13","13.28","14","33.33"
"Sri Lanka","2025","57","313.63","20.02","3.04","13.25","13.3","100"
"Sri Lanka","2026","34","277.65","17","1.05","11.26","21.95","75"
"Sweden","2012","15","351.31","25.86","0.55","23.27","8.52","57.14"
"Sweden","2013","10","361.23","31.29","0.61","20.88","6.32","80"
"Sweden","2014","19","282.89","21.57","1.04","13.19","5.91","57.89"
"Sweden","2015","30","315.43","13.97","1.06","18.35","7.05","50"
"Sweden","2016","45","260.04","14.45","3.29","16.88","7.53","33.33"
"Sweden","2017","105","276.43","14.9","2.15","15.43","7.64","71.29"
"Sweden","2018","108","292.98","12.47","3.86","12.52","8.75","63.27"
"Sweden","2019","115","289.33","10.86","1.17","19.18","8.83","64.22"
"Sweden","2020","87","346.94","20.32","1.99","20.28","7.08","74.36"
"Sweden","2021","105","281.83","10.56","0.63","17.64","7.09","65.43"
"Sweden","2022","79","243.93","8.47","2.82","14.12","10.11","61.67"
"Sweden","2023","73","329.18","12.11","1.96","17.65","11.13","54.39"
"Sweden","2024","101","360.51","13.8","0.97","22.68","9.03","52.24"
"Sweden","2025","45","361.95","17.19","0.86","25.26","7.89","70"
"Switzerland","2012","106","292.92","15.63","3.6","17.13","8.43","47.62"
"Switzerland","2013","170","321.88","16.96","2.25","15.19","7.93","55.15"
"Switzerland","2014","113","282.84","16.05","1.02","14.01","6.79","58.33"
"Switzerland","2015","159","436.04","14.38","1.07","16.98","6.96","57.23"
"Switzerland","2016","105","311.28","15.58","1.05","16.83","7.06","61.76"
"Switzerland","2017","83","316.31","15.88","0.77","19.06","6.25","66.25"
"Switzerland","2018","64","309.26","17.11","0.56","15.46","8.29","65.08"
"Switzerland","2019","30","321.75","10.22","0.5","25.68","6.05","66.67"
"Switzerland","2020","25","277.26","10.71","0.52","15.6","10.15","86.96"
"Switzerland","2021","21","215.32","6.47","0.51","8.67","8.76","61.9"
"Switzerland","2022","12","460.48","16.65","1.43","21.85","6.24","63.64"
"Switzerland","2023","20","310.29","19.96","0.56","17.13","8.69","70"
"Switzerland","2024","25","292.32","23.71","0.82","13.04","7.43","88"
"Switzerland","2025","4","293.5","5.6","0.63","2.68","16.38","25"
"Thailand","2012","4","318.5","35.57","0.89","19.45","3.62","75"
"Thailand","2013","5","524.18","29.74","0.07","32.03","9.66","60"
"Thailand","2014","10","301.26","11.55","5.42","15.54","7.03","70"
"Thailand","2015","25","291.59","17.25","2.66","17.21","10.37","55"
"Thailand","2016","33","189.31","15.85","3.83","15.49","5.5","63.16"
"Thailand","2017","52","300.92","19.61","1.81","29.06","11.54","65"
"Thailand","2018","73","341.66","19.56","8.49","16.49","7.33","78.95"
"Thailand","2019","193","279.69","15.56","0.95","15.7","7.46","86.54"
"Thailand","2020","40","260.71","11.44","1.88","15.6","9.48","80.95"
"Thailand","2021","37","262.85","11.12","1.16","13.17","10.56","85.71"
"Thailand","2022","36","273.57","15.53","1.03","13.66","10.7","77.78"
"Thailand","2023","33","240.23","14.07","0.89","15.26","12.81","85.71"
"Thailand","2024","63","199.67","7.69","0.92","13.05","9.06","85.71"
"Thailand","2025","75","213.93","6.69","0.69","10.17","8.76","100"
"Thailand","2026","2","158","9.62","0.6","2.77","6.81","100"
"United Kingdom","2012","38","292.59","14.13","1.58","21.76","7.57","50"
"United Kingdom","2013","38","338.19","17.66","0.9","21.09","8.96","52.63"
"United Kingdom","2014","51","315.39","14.24","1.89","18.43","6.92","47.06"
"United Kingdom","2015","83","268.33","10.79","2.99","13.21","6.7","48.75"
"United Kingdom","2016","60","351.65","9.81","1.25","21.59","8.67","52.54"
"United Kingdom","2017","93","333.52","14.07","1.71","16.02","9.55","56.52"
"United Kingdom","2018","122","606.25","10.64","1","13.8","9.38","55"
"United Kingdom","2019","130","465.92","7.08","0.71","20.14","7.74","47.24"
"United Kingdom","2020","82","317.18","10.8","0.5","14.26","9.12","46.91"
"United Kingdom","2021","63","347.3","13.6","0.59","19.86","9.99","53.97"
"United Kingdom","2022","62","289.06","9.49","0.79","14.6","9.02","53.45"
"United Kingdom","2023","70","409.2","10.31","0.65","23.81","8.82","66.67"
"United Kingdom","2024","55","396.74","13.75","0.57","22.24","9.17","66.04"
"United Kingdom","2025","14","385.05","13.56","0.53","18.06","10.35","71.43"
"United States","2012","8","236.14","14.95","1.14","23.62","4.86","50"
"United States","2013","25","374.93","16.5","0.67","19.85","8.59","60"
"United States","2014","18","325.43","13.19","2.84","21.11","9.71","46.67"
"United States","2015","105","590.14","18.35","1.2","17.46","9.25","60.78"
"United States","2016","57","311.31","9.87","0.82","20.37","8.26","51.85"
"United States","2017","208","355.25","11.13","0.96","19.05","10.79","52.79"
"United States","2018","108","333.27","18.77","0.98","19.34","8.48","58.42"
"United States","2019","94","328.12","13.23","1.89","15.52","11.9","69.32"
"United States","2020","76","345.51","15.01","6.1","18.72","11.31","58.9"
"United States","2021","58","379.04","9.18","0.82","19.9","13.86","49.12"
"United States","2022","49","339.4","10.51","1.49","19.45","11.06","48.72"
"United States","2023","37","298.38","14.95","0.54","16.28","10.55","75"
"United States","2024","42","300.09","12.97","32.14","16.56","13.78","63.64"
"United States","2025","28","336.48","19.25","32.74","17","12.01","72.22"
